month,time.at.station,water.noise,number.whales,latitude,longitude,depth,gradient
May,1344,low,7,60.37,-4.18,520,415
May,1633,medium,13,60.38,-4.19,559,405
May,743,medium,12,60.54,-4.62,1006,88
May,1050,medium,10,60.29,-4.35,540,409
May,1764,medium,12,60.41,-5.2,1000,97
May,580,high,10,60.38,-5.22,1000,173
May,459,medium,5,60.4,-5.08,993,162
May,561,medium,8,60.41,-5,988,162
May,709,medium,11,60.44,-4.64,954,245
May,690,medium,12,60.43,-4.84,984,161
May,634,medium,9,60.43,-4.75,965,127
May,422,low,11,60.86,-1.53,120,23
May,1232,medium,11,61.29,-2.93,1195,217
May,1232,low,12,61.25,-2.76,1088,261
May,1451,low,12,61.42,-3.51,1259,109
May,1441,low,12,61.4,-3.41,1277,111
May,1566,medium,17,61.38,-3.32,1288,100
May,1578,low,11,61.52,-3.94,1200,152
May,1475,medium,7,61.53,-4.02,1171,198
May,1544,medium,5,61.6,-4.34,832,671
May,1707,medium,9,61.67,-4.65,400,226
May,234,medium,4,61.75,-5.07,255,111
May,1206,low,13,61.61,-6.33,195,133
May,1092,low,11,61.51,-4.16,1124,232
May,1134,low,12,61.55,-4.18,1076,306
May,1079,low,11,61.47,-4.16,1133,166
May,1232,medium,15,61.59,-4.18,1024,361
May,1024,low,10,61.39,-4.16,1105,118
May,1086,low,12,61.43,-4.15,1125,141
May,1341,low,18,61.64,-4.18,934,394
May,840,low,0,61.67,-4.18,869,361
May,1254,low,14,61.72,-4.18,757,361
May,1087,low,18,60.98,-4.26,1100,0
May,832,low,7,61.1,-4.2,1100,29
May,1030,low,11,61.34,-4.16,1100,78
May,935,low,10,61.14,-4.21,1100,29
May,1148,medium,21,60.92,-4.4,1100,49
May,945,low,10,61.19,-4.2,1100,7
May,816,low,14,60.64,-4.88,1000,102
May,663,low,NA,60.67,-4.83,1016,114
May,605,medium,10,60.54,-4.96,1000,8
May,651,medium,11,60.52,-5.05,1000,33
May,754,medium,14,60.51,-5.14,1000,56
May,615,medium,8,60.58,-5,1000,54
May,647,medium,10,60.52,-5.14,1000,73
May,1216,high,17,61.99,-2.26,1593,120
May,905,high,7,61.94,-2.41,1601,118
May,1329,high,28,61.59,-3.06,1425,106
May,787,medium,13,61.33,-3.5,1204,134
May,803,medium,13,61.36,-3.46,1238,126
October,545,medium,5,61.29,-3.57,1178,130
October,1137,high,12,62.1,-2.01,1610,134
October,948,high,9,61.91,-2.48,1600,110
October,1041,high,9,62.07,-2.06,1600,123
October,1454,high,25,62.01,-2.18,1596,125
October,792,high,1,62.04,-2.12,1592,115
October,1096,high,10,62.07,-2.01,1584,124
October,787,high,8,61.62,-3,1455,103
October,1252,high,15,62.01,-2,1553,122
October,1076,medium,6,61.82,-2,1502,128
October,1140,medium,8,61.78,-2,1488,135
October,1419,medium,17,61.72,-2.01,1448,183
October,1272,medium,11,61.66,-2.02,1406,248
October,1071,medium,7,61.9,-2.01,1517,151
October,901,high,8,61.87,-2.58,1587,88
October,1335,medium,12,61.57,-2.01,1256,356
October,658,medium,7,61.42,-3.33,1300,104
October,790,medium,11,61.46,-3.28,1321,95
October,824,high,9,61.65,-2.96,1484,94
October,1365,medium,13,61.53,-2,1183,394
October,1506,medium,17,61.49,-2,1090,444
October,1342,medium,11,61.45,-2,1007,505
October,1164,high,19,61.78,-2.74,1549,63
October,1250,medium,7,61.41,-2,901,467
October,1512,low,16,61.36,-2,735,400
October,1238,medium,5,61.3,-1.99,647,288
October,521,low,9,60.44,-4.26,687,421
October,625,low,12,60.45,-4.3,765,397
October,1871,medium,18,60.83,-4.34,1100,22
October,1942,low,21,60.79,-4.33,1100,79
October,1592,medium,9,60.74,-4.33,1084,148
October,1539,medium,10,60.5,-4.35,905,326
October,1672,medium,14,60.56,-4.33,934,285
October,1854,medium,19,60.69,-4.33,1024,213
October,1579,low,12,60.45,-4.38,900,333
October,555,medium,18,60.92,-4.98,951,246
October,60,medium,0,60.92,-5.08,912,364
October,480,medium,16,60.92,-4.87,993,177
October,2158,medium,25,60.92,-4.77,1000,171
October,1583,medium,5,60.92,-4.65,1033,131
October,1754,low,12,60.92,-4.5,1100,100
October,1854,medium,15,60.92,-4.58,1054,105
October,652,medium,13,60.75,-4.53,1100,41
October,441,medium,6,60.75,-4.62,1100,41
October,775,medium,20,60.75,-4.99,946,210
October,506,medium,10,60.75,-4.89,1009,188
October,695,medium,16,60.75,-4.8,1057,135
October,519,medium,9,60.75,-4.69,1099,69
October,563,medium,6,60.58,-4.79,1000,46
October,659,medium,10,60.58,-4.7,1016,69
